modelo,termo,OR,IC95_inf,IC95_sup,p
Todas as ocupações,Intercepto,0.045415214720635554,0.04049944831811316,0.050927649974900305,0.0
Todas as ocupações,grupo_ocupacional: Segurança privada,2.9355886155420623,2.535704080396467,3.3985355729493305,4.224351149637099e-47
Todas as ocupações,grupo_ocupacional: Segurança pública,18.566276700104115,16.051988377003862,21.47438824455274,0.0
Todas as ocupações,sexo_modelo: Masculino,2.3864109706392957,2.188534799448858,2.602178097520658,2.366814209670742e-86
Todas as ocupações,idade_faixa: 30–39,0.9495165707340024,0.8762159341273013,1.028949238404826,0.20630952029781768
Todas as ocupações,idade_faixa: 40–49,0.9214050870785443,0.8464671021024707,1.0029773542119822,0.058583098574952655
Todas as ocupações,idade_faixa: 50–59,0.8977366020349444,0.8186342179293952,0.9844824330355042,0.021887246468245004
Todas as ocupações,idade_faixa: 60–69,1.0237453066862512,0.923989231976512,1.1342712844393499,0.6536837831425355
Todas as ocupações,raca_modelo: Preta/parda,0.6620658129874849,0.6204432508270655,0.7064806332287015,1.4267248145450942e-35
Todas as ocupações,uniao_modelo: Com união,1.3221650963073535,1.243044062736337,1.4063222650734208,7.286800958552869e-19
Todas as ocupações,regiao: Norte,1.3639309556852,1.2066231275279498,1.5417470537694886,6.902039809440172e-07
Todas as ocupações,regiao: Nordeste,1.0961810599274457,1.0080736397612196,1.1919892245454233,0.03170611576480985
Todas as ocupações,regiao: Centro-Oeste,1.4590304733593593,1.3208355093016788,1.6116843522148412,9.99491882376169e-14
Todas as ocupações,regiao: Sul,1.4175055909435423,1.3191139829373197,1.5232361466459248,1.9827050362856813e-21
Todas as ocupações,Ano (incremento anual),0.9592155440247055,0.9499705858419424,0.9685504726266321,3.5474557264678076e-17
Segurança pública vs. privada,Intercepto,0.3642169856352573,0.21980357723506444,0.6035116183908559,8.858533968760922e-05
Segurança pública vs. privada,grupo_ocupacional: Segurança pública,6.435988878978741,5.234679779915061,7.912986962310454,7.971176684986646e-70
Segurança pública vs. privada,sexo_modelo: Masculino,1.0198044356171354,0.6744567688886586,1.5419833188390324,0.9259310854666546
Segurança pública vs. privada,idade_faixa: 30–39,1.1425421680195105,0.8535589662545129,1.529364293870566,0.3704159877469434
Segurança pública vs. privada,idade_faixa: 40–49,0.7352951208138322,0.5423738286528567,0.9968381329082784,0.04765896083846106
Segurança pública vs. privada,idade_faixa: 50–59,0.46661766949153743,0.3211073542430456,0.6780662186793537,6.401806955380767e-05
Segurança pública vs. privada,idade_faixa: 60–69,0.38324273854126195,0.24357221210852542,0.6030039115429343,3.363380552049905e-05
Segurança pública vs. privada,raca_modelo: Preta/parda,0.7173131705332556,0.5727472285840054,0.89836870252966,0.0038118228795738242
Segurança pública vs. privada,uniao_modelo: Com união,1.2435852317111873,1.0079401605804283,1.534321469678918,0.04197338096880089
Segurança pública vs. privada,regiao: Norte,0.5233049657734578,0.331277432082818,0.8266427491948769,0.005500699745850488
Segurança pública vs. privada,regiao: Nordeste,0.7667457935887885,0.5771566794003148,1.0186126800038908,0.06684039570057844
Segurança pública vs. privada,regiao: Centro-Oeste,0.935275472623345,0.6648747185060304,1.315646670483061,0.7007294211979247
Segurança pública vs. privada,regiao: Sul,1.1116344439112045,0.8371838420230187,1.4760570795342656,0.4644353603121507
Segurança pública vs. privada,Ano (incremento anual),0.9961972564969916,0.9619778766219214,1.0316338846970923,0.8308267343603047

